Year,NSW,QLD,VIC,SA,WA,Jun_SOI,Jul_SOI,Aug_SOI,Jun_NiNO3.4,Jul_NiNO3.4,Aug_NiNO3.4,Jun_MEI,Jul_MEI,Aug_MEI,Jun_phase,Jul_phase,Aug_phase,Jan_SOI,Feb_SOI,Mar_SOI,Apr_SOI,May_SOI,Jan_phase,Feb_phase,Mar_phase,Apr_phase,May_phase
1925,-30.74,-30.23,-53.86,-24.77,-10.62,-4.6,-12.5,-10.1,27.51,27.73,27.55,0.025,0.217,0.802,phase5,phase3,phase1,5,13.6,12.2,12.3,-0.4,phase5,phase4,phase2,phase2,phase3
1926,-64.05,-24.56,-50.37,-17.88,-0.12,-6.7,-1,-7,28.29,27.86,27.03,1.06,1.067,0.685,phase5,phase4,phase5,-6,-16,-12.8,-6.7,-1.9,phase1,phase3,phase1,phase1,phase5
1927,6.87,-10.46,-56.2,-22.72,1.66,0.6,0.6,-1.6,27.54,26.92,26.78,-0.239,-0.405,-0.195,phase5,phase5,phase5,4.5,0.3,15.1,5.7,6.2,phase5,phase5,phase4,phase2,phase2
1928,-72.62,-24.69,-10.19,-22.13,-22.32,-7.4,-0.4,9.4,27.43,27.25,26.59,0.071,0.346,0.06,phase5,phase4,phase4,-10.8,10.1,11.3,10.1,-1.9,phase3,phase4,phase2,phase2,phase3
1929,-11.04,-33.73,-46.47,-18.45,-18.37,0.3,1.4,0.3,27.81,27.21,26.98,0.418,0.557,0.734,phase4,phase5,phase5,15.6,18,3.6,3.5,-10.7,phase2,phase2,phase2,phase5,phase3
1930,-7.03,16.94,25.38,7.76,-2.06,-5.3,-4,-1.6,27.95,27.86,27.56,1.054,1.143,1.395,phase3,phase5,phase5,12.2,7.2,0.7,-3.8,2.5,phase4,phase2,phase5,phase5,phase4
1931,-29.44,25.32,-27.41,-19.17,13.77,15.6,8.7,4.3,28.16,27.63,27.02,0.877,0.425,0.262,phase2,phase2,phase5,6.4,-16.5,4.1,7.2,12.8,phase4,phase3,phase4,phase2,phase2
1932,7.05,-19.45,-59.09,-1.48,-13.27,1.1,1.1,4.9,27.87,27.11,26.97,0.998,1.114,1.025,phase5,phase5,phase5,-3.2,-3.2,-3.2,-3.2,1.1,phase5,phase5,phase5,phase5,phase5
1933,70.01,88.74,2.09,-3.32,-14.68,-3.9,3.3,-0.3,26.83,26.56,25.93,-0.671,-0.769,-0.827,phase3,phase4,phase5,-11.8,4.2,-2.7,2.8,6.2,phase3,phase4,phase5,phase4,phase5
1934,61.26,17.11,104.02,17.83,-5.8,8.6,2.7,-21,27.35,26.8,26.55,-0.074,-0.133,-0.174,phase4,phase2,phase3,6,-0.7,-0.7,5,-6.3,phase2,phase5,phase5,phase4,phase3
1935,-10.35,-16.85,-13.17,15.98,-4.29,-2.5,-0.4,2.1,27.28,26.58,26.93,0.096,-0.055,0.017,phase5,phase5,phase5,6,-5.7,9.8,2.1,-5.6,phase4,phase3,phase4,phase2,phase3
1936,-81.78,-42.99,-64.26,-15.08,-16.75,-1.8,3.9,-8.2,27.33,26.88,26.55,0.474,0.292,0.249,phase5,phase4,phase3,-2.7,-0.2,0.7,19.6,4.7,phase5,phase5,phase5,phase4,phase2
1937,-21.12,-16.51,-18.25,-5.12,-5.14,2.4,-5.2,3.3,27.39,27.32,26.67,-0.277,-0.292,-0.071,phase5,phase3,phase4,8.8,-6.2,4.5,1.3,0.3,phase4,phase3,phase4,phase5,phase5
1938,-23.85,1.09,-118.68,-22.75,-7.48,14.9,17.2,12.4,26.8,26.24,26.07,-1.035,-1.25,-1.392,phase2,phase2,phase2,6.9,2.7,-4.1,2.8,12.8,phase2,phase2,phase5,phase4,phase4
1939,-6.82,-1.04,23.87,-5.64,-2.15,-1.8,7.5,-0.3,27.74,27.48,26.94,0.033,0.269,0.579,phase5,phase4,phase5,16.5,7.2,9.4,7.9,-0.4,phase2,phase2,phase2,phase2,phase5
1940,-56.96,-35.41,-52.77,-29.58,-12.81,-17.2,-14.3,-17.4,28.24,27.43,27.63,1.419,1.352,1.119,phase1,phase1,phase1,-0.8,-5.2,-10.4,-8.9,-13,phase4,phase5,phase5,phase1,phase1
1941,-46.69,-19.21,-16.6,1.72,5.51,-13,-19.1,-18,28.57,27.95,27.66,2.001,1.496,1.522,phase3,phase1,phase1,-10.3,-17,-10.4,-10.4,-5.6,phase1,phase1,phase1,phase1,phase1
1942,16.25,-5.75,19.56,1.04,-3.88,6.5,-1,3.9,27.17,26.67,25.92,-0.262,-0.706,-0.879,phase2,phase5,phase4,-13.7,-4.7,-6,-5.2,5.5,phase1,phase1,phase5,phase5,phase4
1943,16.74,25.9,-40.15,-26.15,-10.54,-7.4,2.7,7.5,27.58,27.13,26.93,0.375,0.504,0.145,phase3,phase4,phase4,8.8,10.1,2.6,11.6,3.3,phase2,phase2,phase2,phase4,phase2
1944,-80.85,-50.67,-77.6,-30.51,-14.25,-3.9,-8.2,3.3,27.72,27.3,26.88,0.161,0.108,0.029,phase5,phase5,phase4,-8.9,3.2,4.1,-5.2,-0.4,phase1,phase4,phase5,phase3,phase5
